"businessname","legalowner","namelast","namefirst","licenseno","issdttm","expdttm","licstatus","licensecat","descript","result","resultdttm","violation","viollevel","violdesc","violdttm","violstatus","statusdate","comments","address","city","state","zip","property_id","latitude","longtitude","rank"
"Cathedral Station","GEORGES MARKET LLC","LLC1220","William Svetz",136075,"2014-10-31 08:15:45","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1222   Washington ST","Roxbury","MA",2118,144000,42.342794,-71.066726,1
"BUNKER HILL COMMUNITY COLLEGE","FAME FOOD MANAGEMENT INC.","FAME FOOD MANAGEMENT INC."," ",21714,"2012-01-12 13:46:07","2017-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","2   Rutherford AVE","Charlestown","MA",2129,156707,42.371921,-71.06306,1
"Bunker Hill Kinghts of Columbu No. 62","CUNNINGHAM JONATHAN C TS","Bunker Hill Building Associates"," ",439611,"2021-01-14 15:08:00","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","545   Medford ST","Charlestown","MA",2129,93789,42.38393,-71.07064,1
"Bunker Hill Market","","Family market Inc.","G&G",311710,"2016-12-30 10:44:50","2022-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","190   Bunker Hill ST","Charlestown","MA",2129,157223,42.378557,-71.061778,1
"Burger King No.  3483","BURGER KING CORP/REST.","Northeast Foods L L C","Shoukat Dhanani",87044,"2013-04-16 09:01:16","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-04-04,"590.004/4-302.14-PF","**","Sanitizing Solutions  Testing Devices (Pf)","2022-04-04 10:51:41","Fail","","They can't find their test strips.  Provide (sanitizer tested with my strips and it was at 200 ppm quats)","1610   VFW PKWY","West Roxbury","MA",2132,157719,42.265889,-71.167951,1
"Burger King No.  3531","TAGLIANTE  JR. JOSEPH","Northeast Foods L L C","Shoukat Dhanani",87047,"2013-04-04 09:59:37","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","4594   Washington ST","Roslindale","MA",2131,158174,42.275977,-71.139161,1
"BurgerFi","BOSTON CITY PROPERTIES II","BIC Burgers Spring Street L L C"," ",129465,"2014-12-12 09:35:50","2016-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","75   Spring ST","West Roxbury","MA",2132,129598,42.27871,-71.1633,1
"Burrito Factory","  ","Edward Franco"," ",68632,"2014-06-09 15:43:11","2016-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","632   Hyde Park AVE","Roslindale","MA",2131,166470,42.278703,-71.118942,1
"Buttermilk & Bourbon","","DARTCOM LLC/VENETIAN MGMNT"," ",23943,"2012-01-05 11:19:49","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","160   Commonwealth AVE","Boston","MA",2116,37896,42.35128,-71.07865,1
"BURRITOS EXPRESS","SUFFOLK/BEDFORD  LLC","YANES","JOSE O.",23865,"2012-02-29 15:15:17","2013-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-06-13,"","",""," ","",""," ","86  Bedford ST","Boston","MA",2111,13081,42.353441,-71.059577,1
"Burrito's Pizzeria","LUIS FERNANDEZ","Yanes Burrito's Corp."," ",30771,"2012-02-29 15:14:11","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","224   Columbia RD","Dorchester","MA",2121,156843,42.307484,-71.076411,1
"Burro Bar","","Cassinelli","Joseph",356552,"2018-05-09 09:02:40","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-10-18,"590.004/4-601.11-C","*","(B) and (C) Equipment  Food-Contact Surfaces  Nonfood-Contact Surfaces  and Utensils (C)","2022-10-18 18:38:15","Fail","","Interior of 2 door reach in unit next to the dish machine soiled with spills & sticky residue.Clean to remove soils.","1357   Washington ST","Roxbury","MA",2118,157239,42.34165,-71.06928,1
"BURTONS GRILL OF BOSTON","STAR MARKETS COMPANY INC","BURTONS GRILL","L L C",25805,"2012-03-13 13:20:45","2011-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1380   Boylston ST","Boston","MA",2215,18096,42.34369,-71.10016,1
"Bus Stop Pub","HYNDS","HYNDS","JOYCE",18234,"2011-12-16 14:11:37","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","252  Western Av","Allston","MA",2134,157163,42.363164,-71.132799,1
"Butterfly Coffee","","ABDILLAHI ABDIRAHMAN"," ",23372,"2012-02-14 11:18:46","2020-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1420   Tremont ST","Roxbury","MA",2120,157074,42.331401,-71.095959,1
"By Chloe","ROCKWOOD ABBEY FEE LLC","Wasser","Samatha",354679,"2018-08-28 07:54:07","2022-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","399   Boylston ST","Boston","MA",2116,18319,42.35179,-71.07209,1
"By Chloe`","PAGOUNIS GEORGE","Harber","Samantha",174001,"2017-06-02 13:10:24","2021-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1325  Boylston St","Boston","MA",2215,18092,42.34447,-71.09917,1
"C & J Superette","","RUBER MELO"," ",20470,"2011-12-30 12:29:16","2015-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-06-13,"","",""," ","",""," ","90   Glenway ST","Dorchester","MA",2121,157429,42.300151,-71.08213,1
"C V S/Pharmacy No. 4666","WEINREB ROGER L TS","CVS PHARMACY INC.","Lic. Dept. Mail Code 1160",74388,"2011-12-28 12:28:23","2023-12-31 23:59:00","Active","RF","Retail Food","HE_Pass",2022-05-16,"","",""," ","",""," ","104   Canal ST","Boston","MA",2114,25412,42.3643,-71.06021,1
"C V S/PHARMACY No. 5382","HALLSTON RLTY ASSOCIATES LLC","CVS PHARMACY INC.","Lic. Dept. Mail Code 1160",78354,"2012-03-05 10:34:35","2023-12-31 23:59:00","Active","RF","Retail Food","HE_Filed",2022-02-28,"590.004/4-602.13-C","*","Nonfood Contact Surfaces (C)","2022-02-28 12:15:44","Fail","","Shelves inside of reach in cooler were soiled. Clean to remove.","181   Brighton AVE","Allston","MA",2134,20099,42.35384,-71.13359,1
"C&S Tavern","WALKER ARTHUR","WALKER","ARTHUR",18513,"2011-12-06 12:27:05","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","380   Warren ST","Roxbury","MA",2119,157321,42.317986,-71.081739,1
"C01/B01/Y01","JACK LYONS  MANAGER","Aramark","Aramark Fenway Park",26266,"2012-02-09 12:29:21","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-09-30,"590.004/4-202.18-C","*","Ventilation Hood Systems  Filters (C)","2022-09-30 10:01:01","Fail","","Hoods on cookline are soiled.  Clean to remove.","4  Jersey ST","Boston","MA",2215,156417,42.346723,-71.09868,1
"Chili Duck","EIGHT 27 BOYLSTON ST BOSTON","Happy Duck Inc."," ",129102,"2014-06-06 07:53:35","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","829   Boylston ST","Boston","MA",2116,18411,42.34894,-71.08267,1
"CABANA GRILL","VELASQUEZ RUBEN D","BOSSONELI","ALONSO",22838,"2011-12-14 09:47:18","2019-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","254   Bennington ST","East Boston","MA",2128,14691,42.37861,-71.02936,1
"Cactus Club","WILLIAM NOLAN","WILLIAM","NOLAN",18129,"2012-02-03 15:05:44","2014-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","939   Boylston ST","Boston","MA",2115,158135,42.348238,-71.08505,1
"Cactus Grill","BARTOLOMI LOIS A","Villanueva","Marvin",27578,"2012-02-23 14:22:04","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-02-02,"590.003/3-304.12-C","*","In-Use Utensils  Between-Use Storage (C)","2022-02-02 12:54:52","Fail","","Utensils stored in stagnant water / Discontinue and store as described below.","42   Maverick SQ","East Boston","MA",2128,92887,42.37014,-71.03916,1
"CAESAR'S","BANO ILIR","BANO","ILIR",21840,"2012-06-21 14:05:07","2014-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","34   Essex ST","Boston","MA",2111,157469,42.352571,-71.062021,1
"Church","TUTUNJIAN EDWARD J TS","L L C","Alpha One",28284,"2012-02-13 10:59:09","2015-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","69  Kilmarnock ST","Boston","MA",2215,81581,42.34258,-71.09953,1
"Cafe @Mohr & McPherson","","Mohr & McPherson"," ",33814,"2012-02-14 12:15:08","2017-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","458   Harrison AVE","Roxbury","MA",2118,69841,42.342238,-71.064278,1
"Cibao Market","MARINEZ MANUEL A","Atenaida Del Carmen Peguero"," ",30694,"2012-01-24 15:12:52","2022-12-31 23:59:00","Active","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","3936   Washington ST","Roslindale","MA",2131,145019,42.29413,-71.11967,1
"CAFE 1010","CHAKRABERTY","CHAKRABERTY","ANANYA",21227,"2012-05-11 09:39:49","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","1010   Massachusetts AV","Roxbury","MA",2118,157914,42.327867,-71.06727,1
"Cafe 1221","TIM O'CALLAGHAN","Irene Nguyen"," ",78419,"2012-03-14 08:30:47","2017-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1221   Dorchester AVE","Dorchester","MA",2125,158371,42.309063,-71.058389,1
"Cafe 1924 @ Mass Financial Services","BP 111 HUNTINGTON AV LESSEE","Robert Wiggins","Brian Aitchinson",451299,"2021-06-28 09:28:58","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-04-07,"590.003/3-302.11-P","***","Packaged and Unpackaged Food-Separation  Packaging  and Segregation (P)","2022-04-07 12:16:19","Fail","","Observed raw shell eggs stored above ready to eat product.  Person in charge corrected on site.","111  Huntington AVE","Boston","MA",2199,76239,42.34646,-71.08152,1
"Cafe 24","BOSTON CONSERVATORY","Aramark Co.","Berkeley College of Music",130888,"2014-10-16 08:46:05","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","24   Fenway  ","Boston","MA",2215,57434,42.34589,-71.09007,1
"Cafe 47","TZANTZOS","Elizabeth Panagos Pres."," ",31971,"2012-02-14 14:52:50","2012-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-06-13,"","",""," ","",""," ","47   Massachusetts AVE","Boston","MA",2115,156452,42.349818,-71.089268,1
"Cafe 939","WILLIAM NOLAN","Mackool","Jessica",28250,"2012-01-06 15:00:28","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-09-12,"590.002(B)/2-102.11-PF","**","(A)  (B) and (C)(1)  (4)-(16) Demonstration (Pf)","2022-09-12 10:48:56","Fail","","Per Erik Ciniello  Director of Operations The person who is certifed food protection manager is not a manager - Provided proof of full time on site certified food protection manager that meets the food code  A certified food protection manager's certification was provided during inspection","939   Boylston ST","Boston","MA",2115,158135,42.348238,-71.08505,1
"Cafe Amalfi","  ","BW Cafe LLC","Att: Accounts Payable",372812,"2018-08-28 09:40:15","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-02-07,"590.006/6-501.111-PF","**","Controlling Pests (Pf)","2022-02-07 10:48:02","Fail","","Fruit Flies found at front service counter  clean to remove  Supply detailed exterminator report with findings and recommendation","2   Battery Wharf WHF","Boston","MA",2109,172851,42.367173,-71.050159,1
"Cafe Amaro","","Riccio","Cennaro",169485,"2016-05-11 09:48:16","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-11-04,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-11-04 13:35:34","Fail","","Management has changed the name of the establishment to Cafe Amaro  file new application with health division for name change ( Same owner)","319   Hanover ST","Boston","MA",2113,155821,42.364038,-71.054008,1
"CAFE ARPEGGIO","CAFE ARPEGGIO:  YONG GOUL D","CAFE ARPEGGIO:  YONG GOULD"," ",20582,"2012-03-01 10:30:22","2019-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","398 W Broadway ","South Boston","MA",2127,155967,42.33737,-71.04816,1
"CAFE AT BARNES AND NOBLE","TRUSTEES OF BOSTON UNIV","BARNES & NOBLE"," ",20111,"2011-12-28 09:02:51","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","660  Beacon ST","Boston","MA",2215,12206,42.3493,-71.09619,1
"Cafe Beirut","PEACOCK REALTY CORP","Laissez-Fare LLC"," ",78472,"2012-03-23 13:27:44","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-01-12,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-01-12 12:05:36","Fail","","In reviewing the previous inspections  the cleaning has been an ongoing violation.  The manager should develop a cleaning schedule to stay on top of the cleaning at the establishment.","650   Centre ST","Jamaica Plain","MA",2130,28151,42.31308,-71.1139,1
"Caffe Vittoria","RICCIO GENNARO","RICCIO","Gerald",18572,"2011-12-15 13:35:25","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","290   Hanover ST","Boston","MA",2113,69102,42.364098,-71.054401,1
"Cafe Bonjour","FIFTY 5 TEMPLE PLACE ASSN","El Mokri","Driss",370810,"2019-12-16 08:14:51","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-03-31,"590.002/2-501.11-PF","**","Clean-up of Vomiting and Diarrheal Events (Pf)","2022-03-31 11:16:43","Fail","","Kit is incomplete. Provide complete kit.","55  Temple PL","Boston","MA",2111,134076,42.354894,-71.061756,1
"CAFE D","","JOHN DOUGLAS ORGAN PRES"," ",24528,"2008-08-25 08:44:56","2008-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-06-13,"","",""," ","",""," ","711   Centre ST","Jamaica Plain","MA",2130,156387,42.311378,-71.114669,1
"Cafe De Lulu","SIK FAN CHOY WONG","Tianjin Inc."," ",33276,"2012-02-06 11:19:21","2015-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","40   Harrison AVE","Boston","MA",2111,156634,42.351661,-71.060969,1
"CAFE DES ARTS","MUSEUM OF FINE ARTS","CAFE DES ARTS"," ",22245,"2011-12-20 11:58:56","2017-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","230   Fenway ","Boston","MA",2115,57433,42.33869,-71.09664,1
"Cafe Dino","","Tea Party Cafe Inc."," ",87061,"2013-03-28 10:47:01","2014-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","2   Oliver ST","Boston","MA",2109,157798,42.357262,-71.054578,1
"Cleveland Circle Convenience","CHESTNUT HILL AVENUE LLC","Kamal Numan Pres."," ",68343,"2012-01-18 10:42:40","2016-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","358   Chestnut Hill AVE","Brighton","MA",2134,31867,42.33677,-71.15139,1
"Cafe Hemsin","LOUIS SIRIGNANO","OZA INC."," ",81326,"2013-04-09 13:36:24","2016-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","10   City Hall AVE","Boston","MA",2108,158384,42.357965,-71.058998,1
"Cafe Inaka","KHAN NASHAT","Innaka Corp."," ",80602,"2013-05-02 09:25:49","2014-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","72   Brighton AVE","Allston","MA",2134,156061,42.352394,-71.128718,1
"Cafe Iterum","NODDLE ISLAND LP","McPherson","Matthew",445434,"2022-02-18 14:55:31","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-08-18,"590.004/4-302.14-PF","**","Sanitizing Solutions  Testing Devices (Pf)","2022-08-18 14:17:43","Fail","","Provide chlorine test kits for the low temp machine","25  Lewis ST","East Boston","MA",2128,85343,42.367555,-71.042205,1
"Cafe Juice Up","ULYSSE JEAN DANIEL","Omarde","Denise",406377,"2019-08-15 12:44:22","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-06-13,"","",""," ","",""," ","1290   Blue Hill AVE","Mattapan","MA",2126,16226,42.279598,-71.092686,1
"Cafe Landwer","YU SHENG HSIUNG","Cafe Landwer","Landver Investors LLC",337377,"2018-01-17 15:32:36","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-02-15,"590.003/3-304.14-C","*","Wiping Cloths  Use Limitation (C)","2022-02-15 14:59:20","Fail","","Wipingi cloths stored wet on counter. Store properly in sanitizer solution.","900   Beacon ST","Boston","MA",2215,12379,42.34679,-71.10573,1
"Cafe Madeleine","FIVE 17 COLUMBUS CONDO TR","Frederic Robert LLC","Frederic Robert",125664,"2014-08-26 08:05:59","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-01-04,"590.003/3-305.11-C","*","Food Storage-Preventing Contamination from the Premises (C)","2022-01-04 10:49:32","Fail","","Items in walk in cooler and freezer stored on the ground. Elevate to prevent contamination.","517   Columbus AVE","Roxbury","MA",2118,35826,42.34222,-71.08014,1
"Cafe Marliave","","Herritt","Scott",29315,"2012-01-26 11:03:24","2022-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","10   Bosworth ST","Boston","MA",2108,155889,42.356873,-71.06026,1
"Cafe Med","RUGGERI FRANCESCO","C & M Ventures LLC","Emmanuel Linoxilakis",130617,"2014-12-11 08:59:58","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","31   Saint James AVE","Boston","MA",2116,155769,42.351109,-71.07458,1
"CAFE MERIDIAN","","EDGAR OSPINA"," ",22113,"2012-02-15 08:45:24","2012-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-06-13,"","",""," ","",""," ","271   Meridian ST","East Boston","MA",2128,158115,42.3763,-71.038959,1
"CAFE MIRROR","PANG SOU","PANG","SOU",23116,"2012-03-12 14:10:57","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-04-05,"590.003/3-304.12-C","*","In-Use Utensils  Between-Use Storage (C)","2022-04-05 11:49:22","Fail","","Utensils stored between equipment- Discontinue","362   Washington ST","Brighton","MA",2135,157507,42.348959,-71.153598,1
"CAFE NAPOLI","CRISTALLO GUERINO","CRISTALLO","GUARINO",21350,"2012-02-15 13:26:21","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","81   Chelsea ST","East Boston","MA",2128,30623,42.371833,-71.036223,1
"Cafe Orient Heights","KIM JIN HYANG","Jin Kim"," ",31510,"2012-03-23 15:16:59","2016-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","1000   Bennington ST","East Boston","MA",2128,14507,42.38687,-71.00687,1
"CAFE PODIMA","  ","Noah Cafe Inc."," ",78079,"2012-03-14 09:05:04","2017-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","156   Cambridge ST","Boston","MA",2114,340670,42.360947,-71.064886,1
"CAFE POLONIA","DAREK BARCIKOWSKI","DAREK BARCIKOWSKI"," ",22381,"2012-02-15 13:50:54","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-04-29,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-04-29 08:31:56","Fail","","no managerial control on handwashing  blocking handsink and warewash sink  no sanitizer solution for wiping cloths  storage of raw meats.","611   Dorchester AVE","South Boston","MA",2127,156768,42.328788,-71.057108,1
"CAFE POMPEI","FEDERAL INVESTMENTS INC","FRANK PEZZANO"," ",22175,"2011-12-13 11:25:31","2016-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","280  Hanover ST","Boston","MA",2113,69079,42.36392,-71.05459,1
"CAFE PORTO BELLO","","STEVEN COSTA/VINCENT","AMATO",20251,"2011-12-09 11:34:48","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","672 E Broadway ","South Boston","MA",2127,21122,42.3358,-71.03763,1
"Cafe Province","","Moosavizadeh","Morteza",91164,"2013-11-15 09:40:21","2014-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-09-14,"","",""," ","",""," ","26   Province ST","Boston","MA",2108,157832,42.357172,-71.059651,1
"CAFE QUATTRO","","Butland","Evan",135691,"2015-08-13 11:37:50","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-01-21,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-01-21 13:39:05","Fail","","Observed bulk container not labeled. Provide a label of the common name of stored food product.","60 E Springfield ST","Roxbury","MA",2118,129907,42.33566,-71.07446,1
"Cafe Sauvage","TUEN-NG AU","Lambert","Antoine",460190,"2021-10-14 11:49:53","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-05-13,"590.002(B)/2-102.11-PF","**","(A)  (B) and (C)(1)  (4)-(16) Demonstration (Pf)","2022-05-13 10:54:33","Fail","","Priority violations noted on inspection report- Review procedures and ensure all equipment is working properly","25   Massachusetts AVE","Boston","MA",2115,158381,42.350505,-71.089578,1
"Cafe SuSu","CIMINO JOSEPH P","De Jong","Fokke",351876,"2018-06-27 15:40:07","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-02-28,"590.004/4-101.16-C","*","Sponges Use Limitation (C)","2022-02-28 14:14:15","Fail","","Sponges in use at coffee counter- Discard","240A  Newbury ST","Boston","MA",2116,101454,42.34946,-71.08224,1
"CAFENATION","SANIEOFF SYROOS TS","Pillar Brighton LLC","Caitlin Ryan",436134,"2020-09-16 13:21:59","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-06-16,"590.003/3-304.14-C","*","Wiping Cloths  Use Limitation (C)","2022-06-16 12:13:36","Fail","","soiled wiping cloths on counters/ sinks- Maintain in sanitizer solution","378  Washington St","Brighton","MA",2135,143531,42.34898,-71.15424,1
"Cafeteria Boston","G S PARTNERS","Cameron Grob George Aboujaoude","Eric Santiago",28689,"2012-02-13 10:32:07","2020-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","279   Newbury ST","Boston","MA",2116,101491,42.34938,-71.084014,1
"Cafeteria Y Pizzaria Mi Columbia","","Vasco","Luis",124996,"2014-01-09 13:41:04","2017-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","50   Maverick SQ","East Boston","MA",2128,92897,42.37017,-71.03868,1
"Caffe Aromi","","Caffe Aromi Inc."," ",76100,"2012-04-26 12:39:35","2016-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","403   Centre ST","Jamaica Plain","MA",2130,156209,42.321682,-71.110291,1
"CAFFE BELLAVITA","CHIU YU HSI","MOMANI","MOHAMED",19583,"2012-01-12 13:08:51","2019-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","30   Charles ST","Boston","MA",2108,29150,42.356847,-71.070066,1
"Caffe Bene","  ","Chen & Chen Brothers Inc."," ",125889,"2014-08-14 10:37:36","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-03,"590.004/4-501.11-C","*","Good Repair and Proper Adjustment-Equipment (C)","2022-01-03 11:14:14","Fail","","2 door M3 turbo air refrigeration unit not operating.Repair Unit is empty PIC stating parts are on order","333   Massachusetts AV","Boston","MA",2115,271270,42.34224,-71.08468,1
"Caffe Lil Italy","FINOCCHIARO LUCILLE TS","Raluca Inc.","Carla Gomes",74781,"2012-02-29 12:16:04","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","178   Salem ST","Boston","MA",2113,121822,42.36652,-71.05478,1
"Caffe Nero","CARTER TOBIN S","Caffe Nero Americas Inc.","Attn: Management",144157,"2015-07-21 10:44:52","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-02-15,"590.003/3-602.11-PF","**","Food Labels (Pf)","2022-02-15 12:14:32","Fail","","Hard boiled eggs and chocolate custard for sale in self-service cooler without correct labels. Discontinue selling food items without correct labels. Guidance provided via email.","53  Union PARK","Roxbury","MA",2118,139378,42.343564,-71.072012,1
"Caffe Nero Americas  Inc.","U I D C OF MASS INC","Caffe Nero Americas LTD","Katrina Sloan",400533,"2019-12-16 08:31:01","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-05-06,"590.004/4-303.11-PF","**","Cleaning Agents and Sanitizers  Availability (Pf)","2022-05-06 12:20:54","Fail","","Dishwasher cleaning agent was empty.  Person in charge corrected and changed out bottle.","100  Huntington AVE","Boston","MA",2116,76237,42.34721,-71.0782,1
"Caffe Strega","","Varano","Nick",128585,"2014-06-25 13:45:31","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","175  Huntington AVE","Boston","MA",2115,344785,42.34493,-71.082807,1
"Caffe Strega @ Deloitte","GUCKENHEIMER ENT. INC. RICHARD YARSHEN","Varano","Nicola",411012,"2019-10-16 08:55:21","2020-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","200   Berkeley ST","Boston","MA",2116,156187,42.35006,-71.072919,1
"Cairo Store","CUEVAS FREDY G","Abdou","Ghada H.",33566,"2011-12-23 11:57:56","2014-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","984   Saratoga ST","East Boston","MA",2128,122906,42.38694,-71.00707,1
